title,abstract
BLACK BOX VARIATIONAL INFERENCE FOR STATE SPACE MODELS,"Latent variable time-series models are among the most heavily used
tools from machine learning and applied statistics. These models have
the advantage of learning latent structure both from noisy
observations and from the temporal ordering in the data, where it is
assumed that meaningful correlation structure exists across time. A
few highly-structured models, such as the linear dynamical system with
linear-Gaussian observations, have closed-form inference procedures
(e.g. the Kalman Filter), but this case is an exception to the general
rule that exact posterior inference in more complex generative models
is intractable. Consequently, much work in time-series modeling
focuses on approximate inference procedures for one particular class
of models. Here, we extend recent developments in stochastic
variational inference to develop a `black-box' approximate inference
technique for latent variable models with latent dynamical structure.
We propose a structured Gaussian variational approximate posterior
that carries the same intuition as the standard Kalman filter-smoother
but, importantly, permits us to use the same inference approach to
approximate the posterior of much more general, nonlinear latent
variable generative models. We show that our approach recovers
accurate estimates in the case of basic models with closed-form
posteriors, and more interestingly performs well in comparison to
variational approaches that were designed in a bespoke fashion for
specific non-conjugate models."
"Fine-grained pose prediction, normalization, and recognition","Pose variation and subtle differences in appearance are key challenges to fine-
grained classification. While deep networks have markedly improved general
recognition, many approaches to fine-grained recognition rely on anchoring net-
works to parts for better accuracy. Identifying parts to find correspondence dis-
counts pose variation so that features can be tuned to appearance. To this end
previous methods have examined how to find parts and extract pose-normalized
features. These methods have generally separated fine-grained recognition into
stages which first localize parts using hand-engineered and coarsely-localized pro-
posal features, and then separately learn deep descriptors centered on inferred part
positions. We unify these steps in an end-to-end trainable network supervised by
keypoint locations and class labels that localizes parts by a fully convolutional
network to focus the learning of feature representations for the fine-grained clas-
sification task. Experiments on the popular CUB200 dataset show that our method
is state-of-the-art and suggest a continuing role for strong supervision."
Neural Network Training Variations in Speech and Subsequent Performance Evaluation,"In this work we study variance in the results of neural network training on a wide
variety of configurations in automatic speech recognition. Although this variance
itself is well known, this is, to the best of our knowledge, the first paper that
performs an extensive empirical study on its effects in speech recognition. We
view training as sampling from a distribution and show that these distributions
can have a substantial variance. These observations have important implications
on way results in the literature are reported and interpreted. "
Improving Variational Inference with Inverse Autoregressive Flow,"We propose a simple and practical method for improving the flexibility of the approximate posterior in variational auto-encoders (VAEs) through a transformation with autoregressive networks.

Autoregressive networks, such as RNNs and RNADE networks, are very powerful models. However, their sequential nature makes them impractical for direct use with VAEs, as sequentially sampling the latent variables is slow when implemented on a GPU. Fortunately, we find that by inverting autoregressive networks we can obtain equally powerful data transformations that can be computed in parallel. We call these data transformations inverse autoregressive flows (IAF), and we show that they can be used to transform a simple distribution over the latent variables into a much more flexible distribution, while still allowing us to compute the resulting variables' probability density function. The method is computationally cheap, can be made arbitrarily flexible, and (in contrast with previous work) is naturally applicable to latent variables that are organized in multidimensional tensors, such as 2D grids or time series.

The method is applied to a novel deep architecture of variational auto-encoders. In experiments we demonstrate that autoregressive flow leads to significant performance gains when applied to variational autoencoders for natural images."
Manifold traversal using density ridges,"In this work we present two examples of how a manifold learning model can represent the complexity of shape variation in images.
Manifold learning techniques for image manifolds can be used to model data in sparse manifold regions. 
Additionally, they can be used as generative models as they can often better represent or learn structure in the data. 
We propose a method of estimating the underlying manifold using the ridges of a kernel density estimate as well as tangent space operations that allows interpolation between images along the manifold and offers a novel approach to analyzing the image manifold."
Neural Variational Random Field Learning,"We propose variational bounds on the log-likelihood of an undirected probabilistic graphical model p that are parametrized by flexible approximating distributions q. These bounds are tight when q = p, are convex in the parameters of q for interesting classes of q, and may be further parametrized by an arbitrarily complex neural network. When optimized jointly over q and p, our bounds enable us to accurately track the partition function during learning."
Learning Genomic Representations to Predict Clinical Outcomes in Cancer,"Genomics are rapidly transforming medical practice and basic biomedical research, providing insights into disease mechanisms and improving therapeutic strategies, particularly in cancer. The ability to predict the future course of a patient's disease from high-dimensional genomic profiling will be essential in realizing the promise of genomic medicine, but presents significant challenges for state-of-the-art survival analysis methods. In this abstract we present an investigation in learning genomic representations with neural networks to predict patient survival in cancer. We demonstrate the advantages of this approach over existing survival analysis methods using brain tumor data."
Understanding Very Deep Networks via Volume Conservation,"Recently, very deep neural networks set new records across many application domains, like Residual Networks at the ImageNet challenge and Highway Networks at language processing tasks. We expect further excellent performance improvements in different fields from these very deep networks. However these networks are still poorly understood, especially since they rely on non-standard architectures. 

In this contribution we analyze the learning dynamics which are required for successfully training very deep neural networks. For the analysis we use a symplectic network architecture which inherently conserves volume when mapping a representation from one to the next layer. Therefore it avoids the vanishing gradient problem, which in turn allows to effectively train thousands of layers. We consider highway and residual networks as well as the LSTM model, all of which have approximately volume conserving mappings. 

We identified two important factors for making deep architectures working:
(1) (near) volume conserving mappings through $x = x + f(x)$ or similar (cf.\ avoiding the vanishing gradient);
(2) Controlling the drift effect, which increases/decreases $x$ during propagation toward the output (cf.\ avoiding bias shifts);"
Fixed Point Quantization of Deep Convolutional Networks,"In recent years increasingly complex architectures for deep convolution networks (DCNs) have been proposed to boost the performance on image recognition tasks. However, the gains in performance have come at a cost of substantial increase in computation and model storage resources. Fixed point implementation of DCNs has the potential to alleviate some of these complexities and facilitate potential deployment on embedded hardware. In this paper, we formulate and solve an optimization problem to identify the optimal fixed point bit-width allocation across layers to enable efficient fixed point implementation of DCNs. Our experiments show that in comparison to equal bit-width settings, optimized bit-width allocation offers >20% reduction in model size without any loss in accuracy on CIFAR-10 benchmark. We also demonstrate that fine-tuning can further enhance the accuracy of fixed point DCNs beyond that of the original floating point model. In doing so, we report a new state-of-the-art fixed point performance of 6.78% error-rate on CIFAR-10 benchmark."
Learning stable representations in a changing world with  on-line t-SNE: proof of concept in the songbird,"Many real-world time series involve repeated patterns that evolve gradually by following slow underlying trends. The evolution of relevant features prevents conventional learning methods from extracting representations that separate differing patterns while being consistent over the whole time series. Here, we present an unsupervised learning method to finding representations that are consistent over time and which separate patterns in non-stationary time-series. We developed an on-line version of t-Distributed Stochastic Neighbor Embedding (t-SNE). We apply t-SNE to the time series iteratively on a running window, and for each displacement of the window, we choose as the seed of the next embedding the final positions of the points obtained in the previous embedding. This process ensures consistency of the representation of slowly evolving patterns, while ensuring that the embedding at each step is optimally adapted to the current window. We apply this method to the song of the developing zebra finch, and we show that we are able to track multiple distinct syllables that are slowly emerging over multiple days, from babbling to the adult song stage."
A Neural Architecture for Representing and Reasoning about Spatial Relationships,We explore a new architecture for representing spatial information in neural networks. The method binds object information to position via element-wise multiplication of complex-valued vectors. This approach extends Holographic Reduced Representations by providing additional tools for processing and manipulating spatial information. In many cases these computations can be performed very efficiently through application of the convolution theorem. Experiments demonstrate excellent performance on a visuo-spatial reasoning task as well as on a 2D maze navigation task.
Stuck in a What? Adventures in Weight Space,"Deep learning researchers commonly suggest 
that converged models are stuck in local minima.
More recently, some researchers observed 
that under reasonable assumptions, 
the vast majority of critical points are saddle points, not true minima.
Both descriptions suggest that weights converge around  a point in weight space, 
be it a local optima or merely a critical point.
However, it's possible that neither interpretation is accurate.
As neural networks are typically over-complete,
it's easy to show the existence of  vast  continuous regions through weight space with equal loss.
In this paper, we build on recent work empirically characterizing the error surfaces of neural networks.
We analyze training paths through weight space,
presenting evidence that apparent convergence of loss
does not correspond to weights arriving at critical points, 
but instead to large movements through flat regions of weight space.
While it's trivial to show that neural network error surfaces are globally non-convex, 
we show that error surfaces are also locally non-convex, 
even after breaking symmetry with a random initialization and also after partial training."
Contextual convolutional neural network filtering improves EM image segmentation,"We designed a contextual filtering algorithm for improving the quality of image segmentation. The algorithm was applied on the task of building the Membrane Detection Probability Maps (MDPM) for segmenting electron microscopy (EM) images of brain tissues. To achieve this, we executed supervised training of a convolutional neural network to recover the ground-truth label of the masked-out center pixel from patches sampled from an un-refined MDPM. Through this training process the model learns the distribution of the segmentation ground-truth map . By applying this trained network over MDPMs we are able to integrate contextual information to obtain with better spatial consistency in the high-level representation space. By iteratively applying this network over the MDPMs for multiple rounds, we were able to significantly improve the EM image segmentation results."
Input-Convex Deep Networks,"This paper introduces a new class of neural networks that we
refer to as input-convex neural networks, networks that are convex in
their inputs (as opposed to their parameters).  We discuss the nature and
representational power of these networks, illustrate how the prediction
(inference) problem can be solved via convex optimization, and discuss their
application to structured prediction problems.  We highlight a few simple
examples of these networks applied to classification tasks, where we illustrate
that the networks perform substantially better than any other approximator we
are aware of that is convex in its inputs."
Distinct Class Saliency Maps for Multiple Object Images,"This paper proposes a method to obtain more distinct class saliency maps than
Simonyan et al. (2014). We made three improvements over their method: (1) using
CNN derivatives with respect to feature maps of the intermediate convolutional
layers with up-sampling instead of an input image; (2) subtracting saliency
maps of the other classes from saliency maps of the target class to differentiate
target objects from other objects; (3) aggregating multi-scale class saliency maps
to compensate lower resolution of the feature maps."
Learning to SMILE(S),"This paper shows how one can directly apply natural language processing (NLP) methods to classification problems in cheminformatics. 
Connection between these seemingly separate fields is shown by considering standard textual representation of compound, SMILES. 
The problem of activity prediction against a target protein is considered, which is a crucial part of computer aided drug design process. 
Conducted experiments show that this way one can not only outrank state of the art results of hand crafted representations but also
gets direct structural insights into the way decisions are made."
Understanding Visual Concepts with Continuation Learning,"We introduce a neural network architecture and a learning algorithm to produce fac- torized symbolic representations. We propose to learn these concepts by observing consecutive frames, letting all the components of the hidden representation except a small discrete set (gating units) be predicted from previous frame, and let the factors of variation in the next frame be represented entirely by these discrete gated units (corresponding to symbolic representations). We demonstrate the efficacy of our approach on datasets of faces undergoing 3D transformations and Atari 2600 games."
Generative Adversarial Metric,We introduced a new metric for comparing adversarial networks quantitatively. 
"Why are deep nets reversible: A simple theory, with implications for training","Generative models for  deep learning are promising  both to improve understanding of the model, and yield training methods requiring fewer labeled samples. Recent works use generative model approaches to produce the deep net's input given the value of a hidden layer several levels above. 
However, there is no accompanying ""proof of correctness"" for the generative model, showing that the feedforward deep net is the correct inference method for recovering the hidden layer given the input.  Furthermore, these models are complicated. 
 
 
The current paper takes a more theoretical tack. It presents a very simple generative model for ReLU deep nets, with the following characteristics: 
 (i) The generative model is just the reverse of the feedforward net: if the forward transformation at a layer is $A$ then the reverse transformation is $A^T$. (This can be seen as an explanation of the old weight tying idea for denoising autoencoders.)
  (ii) Its correctness can be proven under a clean theoretical assumption: the edge weights in real-life deep nets behave like random numbers. Under this assumption ---which is experimentally tested on real-life nets like AlexNet--- it is formally proved that feed forward net is a correct inference method for  recovering the hidden layer. 

The generative model suggests a simple modification for training: use the generative model to produce synthetic data with labels and  include it in the training set. Experiments are shown to support this theory of random-like deep nets; and that it helps the training.

This extended abstract provides a succinct description of our results while the full paper is available on arXiv."
Revise Saturated Activation Functions,"  In this paper, we revise two commonly used saturated functions, the
  logistic sigmoid and the hyperbolic tangent (tanh).

  We point out that, besides the well-known non-zero centered property, slope of the activation function near the origin is another possible
  reason making training deep networks with the logistic function
  difficult to train. We demonstrate that, with proper rescaling, the logistic sigmoid
  achieves comparable results with tanh.

  Then following the same argument, we improve tahn by penalizing in the negative part. 
  We show
  that ``penalized tanh'' is comparable and even outperforms the state-of-the-art
  non-saturated functions including ReLU and leaky ReLU on deep convolution
  neural networks.

  Our results contradict to the conclusion of previous works that the saturation
  property causes the slow convergence. It suggests further investigation is necessary to
  better understand activation functions in deep architectures."
Learning Retinal Tiling in a Model of Visual Attention,"We describe a neural network model in which the tiling of the input array is learned by performing a joint localization and classification task. After training, the optimal tiling that emerges resembles the eccentricity dependent tiling of the human retina."
Applying Representation Learning for Educational Data Mining,"Educational Data Mining is an area of growing interest,
given the increase of available data and generalization of
online learning environments. In this paper we present a
first approach to integrating Representation Learning techniques
in Educational Data Mining by adding autoencoders
as a preprocessing step in a standard performance prediction
problem.
Preliminary results do not show an improvement in performance
by using autoencoders, but we expect that a fine
tuning of parameters will provide an improvement. Also, we
expect that autoencoders will be more useful combined with
different kinds of classifiers, like multilayer perceptrons."
Deep Motif: Visualizing Genomic Sequence Classifications,"This paper applies a deep convolutional/highway MLP framework to classify genomic
sequences on the transcription factor binding site task. To make the model
understandable, we propose an optimization driven strategy to extract “motifs”, or
symbolic patterns which visualize the positive class learned by the network. We
show that our system, Deep Motif (DeMo), extracts motifs that are similar to, and
in some cases outperform the current well known motifs. In addition, we find that
a deeper model consisting of multiple convolutional and highway layers can outperform
a single convolutional and fully connected layer in the previous state-of-the-art."
JOINT STOCHASTIC APPROXIMATION LEARNING OF HELMHOLTZ MACHINES,"Though with progress, model learning and performing posterior inference still re-
mains a common challenge for using deep generative models, especially for han-
dling discrete hidden variables. This paper is mainly concerned with algorithms
for learning Helmholz machines, which is characterized by pairing the genera-
tive model with an auxiliary inference model. A common drawback of previous
learning algorithms is that they indirectly optimize some bounds of the targeted
marginal log-likelihood. In contrast, we successfully develop a new class of al-
gorithms, based on stochastic approximation (SA) theory of the Robbins-Monro
type, to directly optimize the marginal log-likelihood and simultaneously mini-
mize the inclusive KL-divergence. The resulting learning algorithm is thus called
joint SA (JSA). Moreover, we construct an effective MCMC operator for JSA. Our
results on the MNIST datasets demonstrate that the JSA’s performance is consis-
tently superior to that of competing algorithms like RWS, for learning a range of
difficult models."
Alternative structures for character-level RNNs,"Recurrent neural networks are convenient and efficient models for learning patterns in
sequential data. However, when applied to signals with very low cardinality such as
character-level language modeling, they suffer from several problems. In order to success-
fully model longer-term dependencies, the hidden layer needs to be large, which in turn
implies high computational cost. Moreover, the accuracy of these models is significantly
lower than that of baseline word-level models. We propose two structural modifications
of the classic RNN LM architecture. The first one consists on conditioning the RNN both
on the character-level and word-level information. The other one uses the recent history
to condition the computation of the output probability. We evaluate the performance of
the two proposed modifications on multi-lingual data. The experiments show that both
modifications can improve upon the basic RNN architecture, which is even more visible
in cases when the input and output signals are represented by single bits. These findings
suggest that more research needs to be done to develop general RNN architecture that
would perform optimally across wide range of tasks."
"Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning","Very deep convolutional networks have been central to the
largest advances in image recognition performance in recent years.
One example is the Inception architecture that has been shown to achieve
good performance at relatively low computational cost.
Recently, the introduction of residual connections in conjunction with a more
traditional architecture has yielded state-of-the-art
performance in the 2015 ILSVRC challenge; its performance was similar
to the latest generation Inception-v3 network. This raises the question of whether
there are any benefit in combining the Inception architecture with residual
connections. Here we give clear empirical evidence that training with residual
connections accelerates the training of Inception networks significantly,
however, when fully trained, the final quality of the non-residual Inception
variants seem to be close to those of residual versions.
We present several new streamlined architectures for both residual and
non-residual Inception networks. With an ensemble of three residual and
one pure Inception-v4, we achieve 3.08\% top-5 error on the test set of
the ImageNet classification (CLS) challenge"
Learning Dense Convolutional Embeddings for Semantic Segmentation,"This paper proposes a new deep convolutional neural network (DCNN) architecture that learns pixel embeddings, such that pairwise distances between the embeddings can be used to infer whether or not the pixels lie in the same region. That is, for any two pixels on the same object, the embeddings are trained to be similar; for any pair that straddles an object boundary, the embeddings are trained to be dissimilar. Experimental results show that when the embeddings are used in conjunction with a DCNN trained on semantic segmentation, there is a systematic improvement in per-pixel classification accuracy. These contributions are integrated in the popular Caffe deep learning framework, and consist in straightforward modifications to convolution routines. As such, they can be exploited for any task involving convolution layers."
Do Deep Convolutional Nets Really Need to be Deep (Or Even Convolutional)?,"Yes, apparently they do.

Previous research by Ba and Caruana (2014)
demonstrated that shallow feed-forward nets
sometimes can learn the complex functions pre-
viously learned by deep nets while using a simi-
lar number of parameters as the deep models they
mimic. In this paper we investigate if shallow
models can learn to mimic the functions learned
by deep convolutional models. We experiment
with shallow models and models with a vary-
ing number of convolutional layers, all trained to
mimic a state-of-the-art ensemble of CIFAR-10
models. We demonstrate that we are unable to
train shallow models to be of comparable accu-
racy to deep convolutional models. Although the
student models do not have to be as deep as the
teacher models they mimic, the student models
apparently need multiple convolutional layers to
learn functions of comparable accuracy.
"
A Differentiable Transition Between Additive and Multiplicative Neurons,"Existing approaches to combine both additive and multiplicative neural units either use a fixed assignment of operations or require discrete optimization to determine what function a neuron should perform. However, this leads to an extensive increase in the computational complexity of the training procedure.

We present a novel, parameterizable transfer function based on the mathematical concept of non-integer functional iteration that allows the operation each neuron performs to be smoothly and, most importantly, differentiablely adjusted between addition and multiplication. This allows the decision between addition and multiplication to be integrated into the standard backpropagation training procedure."
Blending LSTMs into CNNs,"We consider whether deep convolutional networks (CNNs) can represent decision functions with similar accuracy as recurrent networks such as LSTMs. First, we show that a deep CNN with an architecture inspired by the models recently introduced in image recognition can yield better accuracy than previous convolutional and LSTM networks on the standard 309h Switchboard automatic speech recognition task. Then we show that even more accurate CNNs can be trained under the guidance of LSTMs using a variant of model compression, which we call model blending because the teacher and student models are similar in complexity but different in inductive bias. Blending further improves the accuracy of our CNN, yielding a computationally efficient model of accuracy higher than any of the other individual models. Examining the effect of “dark knowledge” in this model compression task, we find that less than 1% of the highest probability labels are needed for accurate model compression."
A CONTROLLER-RECOGNIZER FRAMEWORK: HOW NECESSARY IS RECOGNITION FOR CONTROL?,"Recently there has been growing interest in building ``active'' visual object recognizers, as opposed to ``passive'' recognizers which classifies a given static image into a predefined set of object categories. In this paper we propose to generalize recent end-to-end active visual recognizers into a controller-recognizer framework. In this framework, the interfaces with an external manipulator, while the recognizer classifies the visual input adjusted by the manipulator. We describe two recently proposed controller-recognizer models-- the recurrent attention model (Mnih et al., 2014) and spatial transformer network (Jaderberg et al., 2015)-- as representative examples of controller-recognizer models. Based on this description we observe that most existing end-to-end controller-recognizers tightly couple the controller and recognizer. We consider whether this tight coupling is necessary, and try to answer this empirically by investigating a decoupled controller and recognizer.  Our experiments revealed that it is not always necessary to tightly couple them, and that by decoupling the controller and recognizer, there is a possibility to build a generic controller that is pretrained and works together with any subsequent recognizer.  
"
A constrained l1 minimization approach for estimating multiple Sparse Gaussian or Nonparanormal Graphical Models,"The flood of multi-context measurement data from many scientific domains has created an urgent need to reconstruct context-specific variable networks, that could significantly simplify network-driven studies. Computationally, this problem can be formulated  as jointly estimating multiple different, but related, sparse Undirected Graphical Models (UGM) from  samples aggregated across several contexts. Previous joint-UGM studies could not address this challenge since they mostly focus on Gaussian Graphical Models (GGM) and have used likelihood-based formulation to infer multiple graphs toward a common pattern. Differently, we propose a novel approach, SIMULE (learning Shared and Individual parts of MULtiple graphs Explicitly) to solve multi-task UGM using a $\ell$1 constrained optimization. SIMULE is cast as independent subproblems of linear programming that can be solved  efficiently. It automatically infers specific dependencies that are unique to each context as well as shared substructures preserved among all the contexts. SIMULE can handle both multivariate Gaussian and multivariate Nonparanormal data that greatly relax the normality assumption. Theoretically we prove that SIMULE achieves a consistent result at rate $O(\log(Kp)/n_{tot})$ (not been proved before). On four synthetic datasets, SIMULE shows significant improvements over state-of-the-art multi-sGGM and single-UGM baselines.  "
Unsupervised Learning with Imbalanced Data via Structure Consolidation Latent Variable Model,"Unsupervised learning on imbalanced data is challenging because, when given imbalanced data, current model is often dominated by the major category and ignores the categories with small amount of data. We develop a latent variable model that can cope with imbalanced data by dividing the latent space into a shared space and a private space. Based on Gaussian Process Latent Variable Models, we propose a new kernel formulation that enables the separation of latent space and derive an efficient variational inference method. The performance of our model is demonstrated with an imbalanced medical image dataset."
Fully Convolutional Nerual Network for Body Part Segmentation,"This paper presents the foundation of a new system for human body segmentation. It is based on a Fully Convolutional Neural Network that uses depth images as input and produces a per-pixel labeling of the image where each pixel has been labeled as a body segment of interest or as non-person. The training data are fully synthetic which allow for large amounts of data to be generated in a relatively short period of time. By using a GPU accelerated implementation of the convolutional neural network, the system is capable of segmenting an image in 8.5 milliseconds. This work will form the basis for more robust system in the future that will be suitable for finding pose skeletons in more cluttered environments.
"
Spatio-Temporal Video Autoencoder with Differentiable Memory,"We describe a new spatio-temporal video autoencoder, based on a classic spatial image autoencoder and a novel nested temporal autoencoder. The temporal encoder is represented by a differentiable visual memory composed of convolutional long short-term memory (LSTM) cells that integrate changes over time. Here we target motion changes and use as temporal decoder a robust optical flow prediction module together with an image sampler serving as built-in feedback loop. The architecture is end-to-end differentiable. At each time step, the system receives as input a video frame, predicts the optical flow based on the current observation and the LSTM memory state as a dense transformation map, and applies it to the current frame to generate the next frame. By minimising the reconstruction error between the predicted next frame and the corresponding ground truth next frame, we train the whole system to extract features useful for motion estimation without any supervision effort. We believe these features can in turn facilitate learning high-level tasks such as path planning, semantic segmentation, or action recognition, reducing the overall supervision effort."
Learning visual groups from co-occurrences in space and time,"We propose a self-supervised framework that learns to group visual entities based on their rate of co-occurrence in space and time. To model statistical dependencies between the entities, we set up a simple binary classification problem in which the goal is to predict if two visual primitives occur in the same spatial or temporal context. We apply this framework to three domains: learning patch affinities from spatial adjacency in images, learning frame affinities from temporal adjacency in videos, and learning photo affinities from geospatial proximity in image collections. We demonstrate that in each case the learned affinities uncover meaningful semantic groupings. From patch affinities we generate object proposals that are competitive with supervised methods. From frame affinities we generate movie scene segmentations that correlate well with DVD chapter structure. Finally, from geospatial affinities we learn groups that relate well to semantic place categories."
